p1_choice,p2_choice,p2_wins,ties,n_decks,p2_win_pct,tie_pct
BBB,BBR,15,2,35,42.857142857142854,5.714285714285714
BBB,BRB,19,1,35,54.285714285714285,2.857142857142857
BBB,BRR,28,0,35,80.0,0.0
BBB,RBB,35,0,35,100.0,0.0
BBB,RBR,24,0,35,68.57142857142857,0.0
BBB,RRB,35,0,35,100.0,0.0
BBB,RRR,22,2,35,62.857142857142854,5.714285714285714
BBR,BBB,18,2,35,51.42857142857142,5.714285714285714
BBR,BRB,4,0,35,11.428571428571429,0.0
BBR,BRR,0,0,35,0.0,0.0
BBR,RBB,35,0,35,100.0,0.0
BBR,RBR,3,2,35,8.571428571428571,5.714285714285714
BBR,RRB,17,4,35,48.57142857142857,11.428571428571429
BBR,RRR,0,0,35,0.0,0.0
BRB,BBB,15,1,35,42.857142857142854,2.857142857142857
BRB,BBR,31,0,35,88.57142857142857,0.0
BRB,BRR,18,0,35,51.42857142857142,0.0
BRB,RBB,23,1,35,65.71428571428571,2.857142857142857
BRB,RBR,19,0,35,54.285714285714285,0.0
BRB,RRB,32,0,35,91.42857142857143,0.0
BRB,RRR,11,1,35,31.428571428571427,2.857142857142857
BRR,BBB,7,0,35,20.0,0.0
BRR,BBR,35,0,35,100.0,0.0
BRR,BRB,17,0,35,48.57142857142857,0.0
BRR,RBB,19,2,35,54.285714285714285,5.714285714285714
BRR,RBR,9,2,35,25.71428571428571,5.714285714285714
BRR,RRB,0,0,35,0.0,0.0
BRR,RRR,0,0,35,0.0,0.0
RBB,BBB,0,0,35,0.0,0.0
RBB,BBR,0,0,35,0.0,0.0
RBB,BRB,11,1,35,31.428571428571427,2.857142857142857
RBB,BRR,14,2,35,40.0,5.714285714285714
RBB,RBR,17,0,35,48.57142857142857,0.0
RBB,RRB,34,0,35,97.14285714285714,0.0
RBB,RRR,10,1,35,28.57142857142857,2.857142857142857
RBR,BBB,11,0,35,31.428571428571427,0.0
RBR,BBR,30,2,35,85.71428571428571,5.714285714285714
RBR,BRB,16,0,35,45.714285714285715,0.0
RBR,BRR,24,2,35,68.57142857142857,5.714285714285714
RBR,RBB,18,0,35,51.42857142857142,0.0
RBR,RRB,32,0,35,91.42857142857143,0.0
RBR,RRR,13,2,35,37.142857142857146,5.714285714285714
RRB,BBB,0,0,35,0.0,0.0
RRB,BBR,14,4,35,40.0,11.428571428571429
RRB,BRB,3,0,35,8.571428571428571,0.0
RRB,BRR,35,0,35,100.0,0.0
RRB,RBB,1,0,35,2.857142857142857,0.0
RRB,RBR,3,0,35,8.571428571428571,0.0
RRB,RRR,20,0,35,57.14285714285714,0.0
RRR,BBB,11,2,35,31.428571428571427,5.714285714285714
RRR,BBR,35,0,35,100.0,0.0
RRR,BRB,23,1,35,65.71428571428571,2.857142857142857
RRR,BRR,35,0,35,100.0,0.0
RRR,RBB,24,1,35,68.57142857142857,2.857142857142857
RRR,RBR,20,2,35,57.14285714285714,5.714285714285714
RRR,RRB,15,0,35,42.857142857142854,0.0
