p1_choice,p2_choice,p2_wins,ties,n_decks,p2_win_pct,tie_pct
BBB,BBR,4,1,10,40.0,10.0
BBB,BRB,5,2,10,50.0,20.0
BBB,BRR,6,3,10,60.0,30.0
BBB,RBB,10,0,10,100.0,0.0
BBB,RBR,5,3,10,50.0,30.0
BBB,RRB,10,0,10,100.0,0.0
BBB,RRR,4,3,10,40.0,30.0
BBR,BBB,5,1,10,50.0,10.0
BBR,BRB,1,1,10,10.0,10.0
BBR,BRR,0,0,10,0.0,0.0
BBR,RBB,9,1,10,90.0,10.0
BBR,RBR,2,0,10,20.0,0.0
BBR,RRB,3,2,10,30.0,20.0
BBR,RRR,0,0,10,0.0,0.0
BRB,BBB,3,2,10,30.0,20.0
BRB,BBR,8,1,10,80.0,10.0
BRB,BRR,5,1,10,50.0,10.0
BRB,RBB,6,0,10,60.0,0.0
BRB,RBR,3,0,10,30.0,0.0
BRB,RRB,6,0,10,60.0,0.0
BRB,RRR,3,1,10,30.0,10.0
BRR,BBB,1,3,10,10.0,30.0
BRR,BBR,10,0,10,100.0,0.0
BRR,BRB,4,1,10,40.0,10.0
BRR,RBB,6,1,10,60.0,10.0
BRR,RBR,4,0,10,40.0,0.0
BRR,RRB,1,1,10,10.0,10.0
BRR,RRR,0,0,10,0.0,0.0
RBB,BBB,0,0,10,0.0,0.0
RBB,BBR,0,1,10,0.0,10.0
RBB,BRB,4,0,10,40.0,0.0
RBB,BRR,3,1,10,30.0,10.0
RBB,RBR,4,0,10,40.0,0.0
RBB,RRB,8,2,10,80.0,20.0
RBB,RRR,0,1,10,0.0,10.0
RBR,BBB,2,3,10,20.0,30.0
RBR,BBR,8,0,10,80.0,0.0
RBR,BRB,7,0,10,70.0,0.0
RBR,BRR,6,0,10,60.0,0.0
RBR,RBB,6,0,10,60.0,0.0
RBR,RRB,8,0,10,80.0,0.0
RBR,RRR,4,1,10,40.0,10.0
RRB,BBB,0,0,10,0.0,0.0
RRB,BBR,5,2,10,50.0,20.0
RRB,BRB,4,0,10,40.0,0.0
RRB,BRR,8,1,10,80.0,10.0
RRB,RBB,0,2,10,0.0,20.0
RRB,RBR,2,0,10,20.0,0.0
RRB,RRR,5,0,10,50.0,0.0
RRR,BBB,3,3,10,30.0,30.0
RRR,BBR,10,0,10,100.0,0.0
RRR,BRB,6,1,10,60.0,10.0
RRR,BRR,10,0,10,100.0,0.0
RRR,RBB,9,1,10,90.0,10.0
RRR,RBR,5,1,10,50.0,10.0
RRR,RRB,5,0,10,50.0,0.0
